,Longitude,Latitude,tem,rain,dem,aspect,适宜
0,108.17,33.46,10.40317,713.74194,1950.10303514377,176.99512,不适宜
1,108.17,33.47,10.333574500000001,767.9549033333333,1947.8886328725039,168.40251,不适宜
2,108.17,33.48,8.691312166666666,833.1691500000001,1967.152542372881,170.62082,不适宜
3,108.17,33.49,7.801496766666666,795.1121899999999,1988.559430604982,175.5561,不适宜
4,108.17,33.5,7.491376966666667,657.6514383333333,2006.8625170998632,175.83675,适宜
5,108.17,33.51,7.387604166666667,524.6804066666666,2026.6361842105264,172.16498,不适宜
6,108.17,33.52,7.588301480000001,470.5265360000001,2046.8593252705286,169.21017,不适宜
7,108.17,33.53,8.088989766666668,471.8551616666666,2067.46921182266,170.91475,不适宜
8,108.17,33.54,8.907736333333334,490.24450833333333,2083.346876895088,170.0225,不适宜
9,108.17,33.55,9.814049333333333,502.829945,2085.641863278887,175.54918,不适宜
10,108.17,33.56,10.480742000000001,507.754302,2089.261053906723,174.17818,不适宜
11,108.17,33.57,10.583081833333333,510.23706,2098.221212121212,169.9779,适宜
12,108.17,33.58,10.530194666666668,517.2214933333333,2096.712985436893,171.28314,不适宜
13,108.17,33.59,10.715323333333334,529.5275266666667,2098.7751515151517,172.43195,不适宜
14,108.17,33.6,11.1649533,544.930786,2091.8233514821536,174.59454,不适宜
15,108.17,33.61,11.439545749999999,567.99955,2080.788356579745,179.1021,不适宜
16,108.17,33.62,11.236466,595.8889483333334,2071.015767131595,182.38255,不适宜
17,108.17,33.63,10.675690333333332,639.9985233333334,2058.1827565270187,178.66869,不适宜
18,108.17,33.64,10.058007000000003,684.8497739999999,2040.4857489387507,176.32182,不适宜
19,108.17,33.65,9.601879833333333,704.2789433333332,2019.8238498789347,175.11014,不适宜
20,108.17,33.66,9.340335166666666,675.8590383333333,1989.7900485436894,174.95691,不适宜
21,108.17,33.67,9.280566166666667,604.652365,1961.0339805825245,175.86955,不适宜
22,108.17,33.68,9.360580916666667,530.4111183333333,1948.431432038835,178.2007,不适宜
23,108.17,33.69,9.506150166666666,503.974255,1937.8368708308064,176.29985,不适宜
24,108.17,33.7,9.677082666666665,548.5344033333333,1936.3980582524273,177.41458,不适宜
25,108.17,33.71,9.874019,629.3911933333334,1939.5828779599271,177.48091,不适宜
26,108.17,33.72,10.081420833333333,681.5369883333333,1934.8943533697632,171.11041,不适宜
27,108.17,33.73,10.232339416666665,662.7548266666666,1940.2094717668488,168.29053,不适宜
